"Report Date","Age","Cases","Rate per 100k"
2020-09-21,"45-64 years",137,22.01
2020-09-21,"65-84 years",32,10.23
2020-09-21,"85+ years",1,2.65
2020-09-22,"0-1 years",5,9.97
2020-09-22,"1-14 years",57,7.82
2020-09-22,"15-24 years",302,59.23
2020-09-22,"25-44 years",278,30.91
2020-09-22,"45-64 years",185,29.73
2020-09-22,"65-84 years",54,17.27
2020-09-22,"85+ years",6,15.88
2020-09-23,"0-1 years",2,3.99
2020-09-23,"1-14 years",92,12.62
2020-09-23,"15-24 years",419,82.17
2020-09-23,"25-44 years",388,43.13
2020-09-23,"45-64 years",237,38.08
2020-09-23,"65-84 years",71,22.71
2020-09-23,"85+ years",9,23.82
2020-09-24,"0-1 years",3,5.98
2020-09-24,"1-14 years",116,15.92
2020-09-24,"15-24 years",468,91.78
2020-09-24,"25-44 years",457,50.8
2020-09-24,"45-64 years",284,45.63
2020-09-24,"65-84 years",81,25.9
2020-09-24,"85+ years",12,31.77
2020-09-25,"0-1 years",1,1.99
2020-09-25,"1-14 years",76,10.43
2020-09-25,"15-24 years",352,69.03
2020-09-25,"25-44 years",341,37.91
2020-09-25,"45-64 years",197,31.66
2020-09-25,"65-84 years",49,15.67
2020-09-25,"85+ years",8,21.18
2020-09-26,"0-1 years",1,1.99
2020-09-26,"1-14 years",73,10.02
2020-09-26,"15-24 years",378,74.13
2020-09-26,"25-44 years",327,36.35
2020-09-26,"45-64 years",204,32.78
2020-09-26,"65-84 years",69,22.07
2020-09-26,"85+ years",11,29.12
2020-09-27,"0-1 years",2,3.99
2020-09-27,"1-14 years",79,10.84
2020-09-27,"15-24 years",267,52.36
2020-09-27,"25-44 years",285,31.68
2020-09-27,"45-64 years",172,27.64
2020-09-27,"65-84 years",52,16.63
2020-09-27,"85+ years",16,42.35
2020-09-28,"0-1 years",1,1.99
2020-09-28,"1-14 years",60,8.23
2020-09-28,"15-24 years",185,36.28
2020-09-28,"25-44 years",218,24.24
2020-09-28,"45-64 years",155,24.91
2020-09-28,"65-84 years",37,11.83
2020-09-28,"85+ years",7,18.53
2020-09-29,"0-1 years",2,3.99
2020-09-29,"1-14 years",79,10.84
2020-09-29,"15-24 years",236,46.28
2020-09-29,"25-44 years",315,35.02
2020-09-29,"45-64 years",210,33.74
2020-09-29,"65-84 years",73,23.34
2020-09-29,"85+ years",5,13.24
2020-09-30,"0-1 years",2,3.99
2020-09-30,"1-14 years",88,12.08
2020-09-30,"15-24 years",270,52.95
2020-09-30,"25-44 years",304,33.8
2020-09-30,"45-64 years",225,36.15
2020-09-30,"65-84 years",93,29.74
2020-09-30,"85+ years",13,34.41
2020-10-01,"0-1 years",3,5.98
2020-10-01,"1-14 years",71,9.74
2020-10-01,"15-24 years",348,68.25
2020-10-01,"25-44 years",380,42.24
2020-10-01,"45-64 years",219,35.19
2020-10-01,"65-84 years",78,24.94
2020-10-01,"85+ years",10,26.47
2020-10-02,"0-1 years",5,9.97
2020-10-02,"1-14 years",98,13.45
2020-10-02,"15-24 years",300,58.84
2020-10-02,"25-44 years",387,43.02
2020-10-02,"45-64 years",228,36.64
2020-10-02,"65-84 years",66,21.11
2020-10-02,"85+ years",7,18.53
2020-10-03,"0-1 years",3,5.98
2020-10-03,"1-14 years",133,18.25
2020-10-03,"15-24 years",352,69.03
2020-10-03,"25-44 years",502,55.81
2020-10-03,"45-64 years",296,47.56
2020-10-03,"65-84 years",78,24.94
2020-10-03,"85+ years",11,29.12
2020-10-04,"0-1 years",2,3.99
2020-10-04,"1-14 years",75,10.29
2020-10-04,"15-24 years",265,51.97
2020-10-04,"25-44 years",394,43.8
2020-10-04,"45-64 years",266,42.74
2020-10-04,"65-84 years",64,20.47
2020-10-04,"85+ years",6,15.88
2020-10-05,"0-1 years",3,5.98
2020-10-05,"1-14 years",59,8.1
2020-10-05,"15-24 years",173,33.93
2020-10-05,"25-44 years",262,29.13
2020-10-05,"45-64 years",177,28.44
2020-10-05,"65-84 years",53,16.95
2020-10-05,"85+ years",5,13.24
2020-10-06,"0-1 years",2,3.99
2020-10-06,"1-14 years",67,9.19
2020-10-06,"15-24 years",250,49.03
2020-10-06,"25-44 years",354,39.35
2020-10-06,"45-64 years",228,36.64
2020-10-06,"65-84 years",73,23.34
2020-10-06,"85+ years",9,23.82
2020-10-07,"0-1 years",5,9.97
2020-10-07,"1-14 years",114,15.64
2020-10-07,"15-24 years",381,74.72
2020-10-07,"25-44 years",517,57.47
2020-10-07,"45-64 years",354,56.88
2020-10-07,"65-84 years",114,36.46
2020-10-07,"85+ years",7,18.53
2020-10-08,"0-1 years",4,7.97
2020-10-08,"1-14 years",132,18.11
2020-10-08,"15-24 years",383,75.11
2020-10-08,"25-44 years",467,51.92
2020-10-08,"45-64 years",287,46.12
2020-10-08,"65-84 years",71,22.71
2020-10-08,"85+ years",12,31.77
2020-10-09,"0-1 years",5,9.97
2020-10-09,"1-14 years",114,15.64
2020-10-09,"15-24 years",326,63.94
2020-10-09,"25-44 years",506,56.25
2020-10-09,"45-64 years",308,49.49
2020-10-09,"65-84 years",85,27.18
2020-10-09,"85+ years",13,34.41
2020-10-10,"0-1 years",1,1.99
2020-10-10,"1-14 years",109,14.96
2020-10-10,"15-24 years",324,63.54
2020-10-10,"25-44 years",394,43.8
2020-10-10,"45-64 years",279,44.83
2020-10-10,"65-84 years",85,27.18
2020-10-10,"85+ years",13,34.41
2020-10-11,"0-1 years",4,7.97
2020-10-11,"1-14 years",98,13.45
2020-10-11,"15-24 years",229,44.91
2020-10-11,"25-44 years",349,38.8
2020-10-11,"45-64 years",219,35.19
2020-10-11,"65-84 years",67,21.43
2020-10-11,"85+ years",11,29.12
2020-10-12,"0-1 years",2,3.99
2020-10-12,"1-14 years",82,11.25
2020-10-12,"15-24 years",232,45.5
2020-10-12,"25-44 years",339,37.69
2020-10-12,"45-64 years",218,35.03
2020-10-12,"65-84 years",75,23.98
2020-10-12,"85+ years",5,13.24
2020-10-13,"0-1 years",4,7.97
2020-10-13,"1-14 years",101,13.86
2020-10-13,"15-24 years",233,45.7
2020-10-13,"25-44 years",411,45.69
2020-10-13,"45-64 years",287,46.12
2020-10-13,"65-84 years",101,32.3
2020-10-13,"85+ years",7,18.53
2020-10-14,"0-1 years",3,5.98
2020-10-14,"1-14 years",142,19.49
2020-10-14,"15-24 years",371,72.76
2020-10-14,"25-44 years",538,59.81
2020-10-14,"45-64 years",330,53.03
2020-10-14,"65-84 years",106,33.9
2020-10-14,"85+ years",13,34.41
2020-10-15,"0-1 years",4,7.97
2020-10-15,"1-14 years",147,20.17
2020-10-15,"15-24 years",386,75.7
2020-10-15,"25-44 years",535,59.48
2020-10-15,"45-64 years",339,54.47
2020-10-15,"65-84 years",84,26.86
2020-10-15,"85+ years",16,42.35
2020-10-16,"0-1 years",4,7.97
2020-10-16,"1-14 years",141,19.35
2020-10-16,"15-24 years",264,51.78
2020-10-16,"25-44 years",497,55.25
2020-10-16,"45-64 years",316,50.78
2020-10-16,"65-84 years",90,28.78
2020-10-16,"85+ years",10,26.47
2020-10-17,"1-14 years",123,16.88
2020-10-17,"15-24 years",253,49.62
2020-10-17,"25-44 years",373,41.47
2020-10-17,"45-64 years",270,43.39
2020-10-17,"65-84 years",88,28.14
2020-10-17,"85+ years",9,23.82
2020-10-18,"0-1 years",1,1.99
2020-10-18,"1-14 years",116,15.92
2020-10-18,"15-24 years",259,50.8
2020-10-18,"25-44 years",435,48.36
2020-10-18,"45-64 years",250,40.17
2020-10-18,"65-84 years",105,33.58
2020-10-18,"85+ years",7,18.53
2020-10-19,"0-1 years",3,5.98
2020-10-19,"1-14 years",83,11.39
2020-10-19,"15-24 years",241,47.27
2020-10-19,"25-44 years",405,45.02
2020-10-19,"45-64 years",241,38.73
2020-10-19,"65-84 years",76,24.3
2020-10-19,"85+ years",5,13.24
2020-10-20,"0-1 years",2,3.99
2020-10-20,"1-14 years",128,17.57
2020-10-20,"15-24 years",276,54.13
2020-10-20,"25-44 years",452,50.25
2020-10-20,"45-64 years",304,48.85
2020-10-20,"65-84 years",101,32.3
2020-10-20,"85+ years",28,74.12
2020-10-21,"0-1 years",1,1.99
2020-10-21,"1-14 years",152,20.86
2020-10-21,"15-24 years",397,77.86
2020-10-21,"25-44 years",549,61.03
2020-10-21,"45-64 years",399,64.11
2020-10-21,"65-84 years",136,43.49
2020-10-21,"85+ years",10,26.47
2020-10-22,"0-1 years",3,5.98
2020-10-22,"1-14 years",173,23.74
2020-10-22,"15-24 years",489,95.9
2020-10-22,"25-44 years",733,81.49
2020-10-22,"45-64 years",457,73.43
2020-10-22,"65-84 years",146,46.69
2020-10-22,"85+ years",11,29.12
2020-10-23,"0-1 years",10,19.94
2020-10-23,"1-14 years",171,23.47
2020-10-23,"15-24 years",396,77.66
2020-10-23,"25-44 years",593,65.92
2020-10-23,"45-64 years",344,55.28
2020-10-23,"65-84 years",100,31.98
2020-10-23,"85+ years",7,18.53
2020-10-24,"0-1 years",3,5.98
2020-10-24,"1-14 years",164,22.51
2020-10-24,"15-24 years",456,89.43
2020-10-24,"25-44 years",635,70.59
2020-10-24,"45-64 years",415,66.68
2020-10-24,"65-84 years",128,40.93
2020-10-24,"85+ years",6,15.88
2020-10-25,"0-1 years",2,3.99
2020-10-25,"1-14 years",118,16.19
2020-10-25,"15-24 years",257,50.4
2020-10-25,"25-44 years",428,47.58
2020-10-25,"45-64 years",281,45.15
2020-10-25,"65-84 years",74,23.66
2020-10-25,"85+ years",11,29.12
2020-10-26,"0-1 years",4,7.97
2020-10-26,"1-14 years",91,12.49
2020-10-26,"15-24 years",257,50.4
2020-10-26,"25-44 years",403,44.8
2020-10-26,"45-64 years",276,44.35
2020-10-26,"65-84 years",87,27.82
2020-10-26,"85+ years",12,31.77
2020-10-27,"0-1 years",4,7.97
2020-10-27,"1-14 years",152,20.86
2020-10-27,"15-24 years",349,68.45
2020-10-27,"25-44 years",528,58.7
2020-10-27,"45-64 years",392,62.99
2020-10-27,"65-84 years",145,46.37
2020-10-27,"85+ years",16,42.35
2020-10-28,"0-1 years",5,9.97
2020-10-28,"1-14 years",168,23.05
2020-10-28,"15-24 years",451,88.45
2020-10-28,"25-44 years",656,72.93
2020-10-28,"45-64 years",394,63.31
2020-10-28,"65-84 years",153,48.93
2020-10-28,"85+ years",14,37.06
2020-10-29,"0-1 years",1,1.99
2020-10-29,"1-14 years",201,27.58
2020-10-29,"15-24 years",637,124.93
2020-10-29,"25-44 years",831,92.38
2020-10-29,"45-64 years",510,81.95
2020-10-29,"65-84 years",159,50.85
2020-10-29,"85+ years",22,58.24
2020-10-30,"0-1 years",3,5.98
2020-10-30,"1-14 years",156,21.41
2020-10-30,"15-24 years",407,79.82
2020-10-30,"25-44 years",612,68.04
2020-10-30,"45-64 years",363,58.33
2020-10-30,"65-84 years",144,46.05
2020-10-30,"85+ years",17,45
2020-10-31,"0-1 years",4,7.97
2020-10-31,"1-14 years",160,21.96
2020-10-31,"15-24 years",411,80.61
2020-10-31,"25-44 years",651,72.37
2020-10-31,"45-64 years",468,75.2
2020-10-31,"65-84 years",150,47.97
2020-10-31,"85+ years",13,34.41
2020-11-01,"0-1 years",10,19.94
2020-11-01,"1-14 years",108,14.82
2020-11-01,"15-24 years",272,53.34
2020-11-01,"25-44 years",452,50.25
2020-11-01,"45-64 years",255,40.97
2020-11-01,"65-84 years",92,29.42
2020-11-01,"85+ years",15,39.71
2020-11-02,"0-1 years",2,3.99
2020-11-02,"1-14 years",145,19.9
2020-11-02,"15-24 years",393,77.08
2020-11-02,"25-44 years",611,67.92
2020-11-02,"45-64 years",389,62.51
2020-11-02,"65-84 years",124,39.65
2020-11-02,"85+ years",14,37.06
2020-11-03,"0-1 years",2,3.99
2020-11-03,"1-14 years",172,23.6
2020-11-03,"15-24 years",478,93.75
2020-11-03,"25-44 years",821,91.27
2020-11-03,"45-64 years",492,79.06
2020-11-03,"65-84 years",134,42.85
2020-11-03,"85+ years",27,71.47
2020-11-04,"0-1 years",5,9.97
2020-11-04,"1-14 years",253,34.72
2020-11-04,"15-24 years",639,125.32
2020-11-04,"25-44 years",1047,116.4
2020-11-04,"45-64 years",653,104.93
2020-11-04,"65-84 years",199,63.64
2020-11-04,"85+ years",32,84.71
2020-11-05,"0-1 years",8,15.95
2020-11-05,"1-14 years",263,36.09
2020-11-05,"15-24 years",797,156.31
2020-11-05,"25-44 years",1080,120.06
2020-11-05,"45-64 years",632,101.55
2020-11-05,"65-84 years",173,55.32
2020-11-05,"85+ years",49,129.71
2020-11-06,"0-1 years",4,7.97
2020-11-06,"1-14 years",276,37.87
2020-11-06,"15-24 years",771,151.21
2020-11-06,"25-44 years",1123,124.84
2020-11-06,"45-64 years",594,95.45
2020-11-06,"65-84 years",180,57.56
2020-11-06,"85+ years",29,76.77
2020-11-07,"0-1 years",6,11.96
2020-11-07,"1-14 years",238,32.66
2020-11-07,"15-24 years",630,123.56
2020-11-07,"25-44 years",873,97.05
2020-11-07,"45-64 years",509,81.79
2020-11-07,"65-84 years",162,51.81
2020-11-07,"85+ years",21,55.59
2020-11-08,"0-1 years",9,17.94
2020-11-08,"1-14 years",212,29.09
2020-11-08,"15-24 years",636,124.73
2020-11-08,"25-44 years",743,82.6
2020-11-08,"45-64 years",464,74.56
2020-11-08,"65-84 years",141,45.09
2020-11-08,"85+ years",17,45
2020-11-09,"0-1 years",7,13.96
2020-11-09,"1-14 years",246,33.76
2020-11-09,"15-24 years",600,117.67
2020-11-09,"25-44 years",898,99.83
2020-11-09,"45-64 years",525,84.36
2020-11-09,"65-84 years",125,39.97
2020-11-09,"85+ years",24,63.53
2020-11-10,"0-1 years",4,7.97
2020-11-10,"1-14 years",218,29.92
2020-11-10,"15-24 years",609,119.44
2020-11-10,"25-44 years",776,86.27
2020-11-10,"45-64 years",528,84.84
2020-11-10,"65-84 years",141,45.09
2020-11-10,"85+ years",23,60.89
2020-11-11,"0-1 years",10,19.94
2020-11-11,"1-14 years",385,52.83
2020-11-11,"15-24 years",1062,208.28
2020-11-11,"25-44 years",1344,149.41
2020-11-11,"45-64 years",865,138.99
2020-11-11,"65-84 years",268,85.7
2020-11-11,"85+ years",26,68.83
2020-11-12,"0-1 years",7,13.96
2020-11-12,"1-14 years",321,44.05
2020-11-12,"15-24 years",943,184.94
2020-11-12,"25-44 years",1184,131.63
2020-11-12,"45-64 years",719,115.53
2020-11-12,"65-84 years",213,68.12
2020-11-12,"85+ years",17,45
2020-11-13,"0-1 years",15,29.9
2020-11-13,"1-14 years",448,61.48
2020-11-13,"15-24 years",1064,208.67
2020-11-13,"25-44 years",1384,153.86
2020-11-13,"45-64 years",880,141.4
2020-11-13,"65-84 years",263,84.11
2020-11-13,"85+ years",38,100.59
2020-11-14,"0-1 years",5,9.97
2020-11-14,"1-14 years",259,35.54
2020-11-14,"15-24 years",641,125.71
2020-11-14,"25-44 years",946,105.17
2020-11-14,"45-64 years",578,92.88
2020-11-14,"65-84 years",189,60.44
2020-11-14,"85+ years",17,45
2020-11-15,"0-1 years",4,7.97
2020-11-15,"1-14 years",202,27.72
2020-11-15,"15-24 years",469,91.98
2020-11-15,"25-44 years",672,74.71
2020-11-15,"45-64 years",440,70.7
2020-11-15,"65-84 years",158,50.53
2020-11-15,"85+ years",20,52.94
2020-11-16,"0-1 years",15,29.9
2020-11-16,"1-14 years",344,47.21
2020-11-16,"15-24 years",729,142.97
2020-11-16,"25-44 years",1136,126.29
2020-11-16,"45-64 years",692,111.19
2020-11-16,"65-84 years",206,65.88
2020-11-16,"85+ years",41,108.53
2020-11-17,"0-1 years",9,17.94
2020-11-17,"1-14 years",298,40.89
2020-11-17,"15-24 years",631,123.75
2020-11-17,"25-44 years",1050,116.73
2020-11-17,"45-64 years",723,116.18
2020-11-17,"65-84 years",235,75.15
2020-11-17,"85+ years",26,68.83
2020-11-18,"0-1 years",19,37.88
2020-11-18,"1-14 years",410,56.26
2020-11-18,"15-24 years",930,182.39
2020-11-18,"25-44 years",1430,158.97
2020-11-18,"45-64 years",899,144.46
2020-11-18,"65-84 years",256,81.87
2020-11-18,"85+ years",34,90
2020-11-19,"0-1 years",11,21.93
2020-11-19,"1-14 years",505,69.3
2020-11-19,"15-24 years",1073,210.44
2020-11-19,"25-44 years",1767,196.44
2020-11-19,"45-64 years",937,150.56
2020-11-19,"65-84 years",283,90.5
2020-11-19,"85+ years",35,92.65
2020-11-20,"0-1 years",16,31.9
2020-11-20,"1-14 years",342,46.93
2020-11-20,"15-24 years",816,160.03
2020-11-20,"25-44 years",1182,131.4
2020-11-20,"45-64 years",712,114.41
2020-11-20,"65-84 years",264,84.43
2020-11-20,"85+ years",33,87.36
2020-11-21,"0-1 years",8,15.95
2020-11-21,"1-14 years",371,50.91
2020-11-21,"15-24 years",812,159.25
2020-11-21,"25-44 years",1162,129.18
2020-11-21,"45-64 years",692,111.19
2020-11-21,"65-84 years",197,63
2020-11-21,"85+ years",20,52.94
2020-11-22,"0-1 years",11,21.93
2020-11-22,"1-14 years",271,37.19
2020-11-22,"15-24 years",452,88.65
2020-11-22,"25-44 years",753,83.71
2020-11-22,"45-64 years",524,84.2
2020-11-22,"65-84 years",176,56.28
2020-11-22,"85+ years",12,31.77
2020-11-23,"0-1 years",9,17.94
2020-11-23,"1-14 years",314,43.09
2020-11-23,"15-24 years",512,100.41
2020-11-23,"25-44 years",949,105.5
2020-11-23,"45-64 years",639,102.68
2020-11-23,"65-84 years",191,61.08
2020-11-23,"85+ years",30,79.42
2020-11-24,"0-1 years",10,19.94
2020-11-24,"1-14 years",152,20.86
2020-11-24,"15-24 years",365,71.58
2020-11-24,"25-44 years",624,69.37
2020-11-24,"45-64 years",444,71.34
2020-11-24,"65-84 years",141,45.09
2020-11-24,"85+ years",30,79.42
2020-11-25,"0-1 years",6,11.96
2020-11-25,"1-14 years",410,56.26
2020-11-25,"15-24 years",892,174.94
2020-11-25,"25-44 years",1399,155.53
2020-11-25,"45-64 years",844,135.62
2020-11-25,"65-84 years",258,82.51
2020-11-25,"85+ years",35,92.65
2020-11-26,"0-1 years",5,9.97
2020-11-26,"1-14 years",251,34.44
2020-11-26,"15-24 years",488,95.71
2020-11-26,"25-44 years",889,98.83
2020-11-26,"45-64 years",480,77.13
2020-11-26,"65-84 years",167,53.41
2020-11-26,"85+ years",16,42.35
2020-11-27,"0-1 years",5,9.97
2020-11-27,"1-14 years",208,28.54
2020-11-27,"15-24 years",455,89.23
2020-11-27,"25-44 years",703,78.15
2020-11-27,"45-64 years",479,76.97
2020-11-27,"65-84 years",163,52.13
2020-11-27,"85+ years",36,95.3
2020-11-28,"0-1 years",5,9.97
2020-11-28,"1-14 years",184,25.25
2020-11-28,"15-24 years",344,67.47
2020-11-28,"25-44 years",641,71.26
2020-11-28,"45-64 years",386,62.02
2020-11-28,"65-84 years",144,46.05
2020-11-28,"85+ years",22,58.24
2020-11-29,"0-1 years",2,3.99
2020-11-29,"1-14 years",191,26.21
2020-11-29,"15-24 years",375,73.55
2020-11-29,"25-44 years",622,69.15
2020-11-29,"45-64 years",496,79.7
2020-11-29,"65-84 years",190,60.76
2020-11-29,"85+ years",17,45
2020-11-30,"0-1 years",9,17.94
2020-11-30,"1-14 years",240,32.93
2020-11-30,"15-24 years",564,110.61
2020-11-30,"25-44 years",866,96.27
2020-11-30,"45-64 years",588,94.48
2020-11-30,"65-84 years",207,66.2
2020-11-30,"85+ years",28,74.12
2020-12-01,"0-1 years",10,19.94
2020-12-01,"1-14 years",380,52.15
2020-12-01,"15-24 years",873,171.21
2020-12-01,"25-44 years",1461,162.42
2020-12-01,"45-64 years",973,156.35
2020-12-01,"65-84 years",284,90.82
2020-12-01,"85+ years",36,95.3
2020-12-02,"0-1 years",11,21.93
2020-12-02,"1-14 years",448,61.48
2020-12-02,"15-24 years",870,170.62
2020-12-02,"25-44 years",1416,157.42
2020-12-02,"45-64 years",868,139.48
2020-12-02,"65-84 years",287,91.78
2020-12-02,"85+ years",27,71.47
2020-12-03,"0-1 years",10,19.94
2020-12-03,"1-14 years",314,43.09
2020-12-03,"15-24 years",682,133.75
2020-12-03,"25-44 years",1091,121.29
2020-12-03,"45-64 years",651,104.61
2020-12-03,"65-84 years",204,65.24
2020-12-03,"85+ years",30,79.42
2020-12-04,"0-1 years",6,11.96
2020-12-04,"1-14 years",439,60.24
2020-12-04,"15-24 years",811,159.05
2020-12-04,"25-44 years",1332,148.08
2020-12-04,"45-64 years",777,124.85
2020-12-04,"65-84 years",275,87.94
2020-12-04,"85+ years",30,79.42
2020-12-05,"0-1 years",8,15.95
2020-12-05,"1-14 years",334,45.83
2020-12-05,"15-24 years",545,106.89
2020-12-05,"25-44 years",936,104.06
2020-12-05,"45-64 years",533,85.65
2020-12-05,"65-84 years",202,64.6
2020-12-05,"85+ years",29,76.77
2020-12-06,"0-1 years",1,1.99
2020-12-06,"1-14 years",237,32.52
2020-12-06,"15-24 years",469,91.98
2020-12-06,"25-44 years",743,82.6
2020-12-06,"45-64 years",565,90.79
2020-12-06,"65-84 years",175,55.96
2020-12-06,"85+ years",21,55.59
2020-12-07,"0-1 years",4,7.97
2020-12-07,"1-14 years",229,31.42
2020-12-07,"15-24 years",513,100.61
2020-12-07,"25-44 years",833,92.6
2020-12-07,"45-64 years",540,86.77
2020-12-07,"65-84 years",170,54.36
2020-12-07,"85+ years",25,66.18
2020-12-08,"0-1 years",15,29.9
2020-12-08,"1-14 years",255,34.99
2020-12-08,"15-24 years",530,103.94
2020-12-08,"25-44 years",908,100.94
2020-12-08,"45-64 years",614,98.66
2020-12-08,"65-84 years",207,66.2
2020-12-08,"85+ years",22,58.24
2020-12-09,"0-1 years",10,19.94
2020-12-09,"1-14 years",349,47.89
2020-12-09,"15-24 years",777,152.39
2020-12-09,"25-44 years",1199,133.29
2020-12-09,"45-64 years",767,123.25
2020-12-09,"65-84 years",269,86.02
2020-12-09,"85+ years",40,105.89
2020-12-10,"0-1 years",6,11.96
2020-12-10,"1-14 years",359,49.26
2020-12-10,"15-24 years",688,134.93
2020-12-10,"25-44 years",1147,127.51
2020-12-10,"45-64 years",701,112.64
2020-12-10,"65-84 years",256,81.87
2020-12-10,"85+ years",22,58.24
2020-12-11,"0-1 years",9,17.94
2020-12-11,"1-14 years",289,39.66
2020-12-11,"15-24 years",626,122.77
2020-12-11,"25-44 years",970,107.84
2020-12-11,"45-64 years",599,96.25
2020-12-11,"65-84 years",176,56.28
2020-12-11,"85+ years",17,45
2020-12-12,"0-1 years",9,17.94
2020-12-12,"1-14 years",240,32.93
2020-12-12,"15-24 years",405,79.43
2020-12-12,"25-44 years",741,82.38
2020-12-12,"45-64 years",491,78.9
2020-12-12,"65-84 years",176,56.28
2020-12-12,"85+ years",20,52.94
2020-12-13,"0-1 years",3,5.98
2020-12-13,"1-14 years",248,34.03
2020-12-13,"15-24 years",382,74.92
2020-12-13,"25-44 years",685,76.15
2020-12-13,"45-64 years",479,76.97
2020-12-13,"65-84 years",151,48.29
2020-12-13,"85+ years",8,21.18
2020-12-14,"0-1 years",16,31.9
2020-12-14,"1-14 years",233,31.97
2020-12-14,"15-24 years",407,79.82
2020-12-14,"25-44 years",657,73.04
2020-12-14,"45-64 years",434,69.74
2020-12-14,"65-84 years",150,47.97
2020-12-14,"85+ years",17,45
